period,ratio,title
2023-06-24,16.15822,MAX
2023-06-25,17.51849,MAX
2023-06-26,16.57939,MAX
2023-06-27,16.04439,MAX
2023-06-28,15.2305,MAX
2023-06-29,14.10358,MAX
2023-06-30,17.55264,MAX
2023-01-01,0.23335,CR
2023-01-02,0.15936,CR
2023-01-03,0.15936,CR
2023-01-04,0.16505,CR
2023-01-05,0.1992,CR
2023-01-06,0.20489,CR
2023-01-07,0.17074,CR
2023-01-08,0.29595,CR
2023-01-09,0.25042,CR
2023-01-10,0.28457,CR
2023-01-11,0.23904,CR
2023-01-12,0.23904,CR
2023-01-13,0.18782,CR
2023-01-14,0.19351,CR
2023-01-15,0.14797,CR
2023-01-16,0.17074,CR
2023-01-17,0.17643,CR
2023-01-18,0.17643,CR
2023-01-19,0.19351,CR
2023-01-20,0.11952,CR
2023-01-21,0.22196,CR
2023-01-22,0.14228,CR
2023-01-23,0.18212,CR
2023-01-24,0.10244,CR
2023-01-25,0.11383,CR
2023-01-26,0.15367,CR
2023-01-27,0.13659,CR
2023-01-28,0.16505,CR
2023-01-29,0.22766,CR
2023-01-30,0.20489,CR
2023-01-31,0.15367,CR
2023-02-01,0.11383,CR
2023-02-02,0.13659,CR
2023-02-03,0.12521,CR
2023-02-04,0.13659,CR
2023-02-05,0.11383,CR
2023-02-06,0.13659,CR
2023-02-07,0.11383,CR
2023-02-08,0.13659,CR
2023-02-09,0.16505,CR
2023-02-10,0.17074,CR
2023-02-11,0.11952,CR
2023-02-12,0.07968,CR
2023-02-13,0.1309,CR
2023-02-14,0.10813,CR
2023-02-15,0.09106,CR
2023-02-16,0.14228,CR
2023-02-17,0.15936,CR
2023-02-18,0.16505,CR
2023-02-19,0.14797,CR
2023-02-20,0.11383,CR
2023-02-21,0.15936,CR
2023-02-22,0.09675,CR
2023-02-23,0.1309,CR
2023-02-24,0.14228,CR
2023-02-25,0.13659,CR
2023-02-26,0.14797,CR
2023-02-27,0.11383,CR
2023-02-28,0.10813,CR
2023-03-01,0.10244,CR
2023-03-02,0.09106,CR
2023-03-03,0.10813,CR
2023-03-04,0.14797,CR
2023-03-05,0.10813,CR
2023-03-06,0.05122,CR
2023-03-07,0.07968,CR
2023-03-08,0.04553,CR
2023-03-09,0.0626,CR
2023-03-10,0.09675,CR
2023-03-11,0.07398,CR
2023-03-12,0.09675,CR
2023-03-13,0.0626,CR
2023-03-14,0.07968,CR
2023-03-15,0.07398,CR
2023-03-16,0.0626,CR
2023-03-17,0.09675,CR
2023-03-18,0.09106,CR
2023-03-19,0.10244,CR
2023-03-20,0.05691,CR
2023-03-21,0.07398,CR
2023-03-22,0.10813,CR
2023-03-23,0.09106,CR
2023-03-24,0.07398,CR
2023-03-25,0.08537,CR
2023-03-26,0.05122,CR
2023-03-27,0.0626,CR
2023-03-28,0.09675,CR
2023-03-30,0.04553,CR
2023-03-31,0.05691,CR
2023-04-01,0.09106,CR
2023-04-02,0.02845,CR
2023-04-03,0.07968,CR
2023-04-04,0.15367,CR
2023-04-05,0.09106,CR
2023-04-06,0.07398,CR
2023-04-07,0.04553,CR
2023-04-08,0.0626,CR
2023-04-09,0.09675,CR
2023-04-10,0.03984,CR
2023-04-11,0.05691,CR
2023-04-12,0.07968,CR
2023-04-13,0.03984,CR
2023-04-14,0.03984,CR
2023-04-15,0.03984,CR
2023-04-16,0.10813,CR
2023-04-17,0.07968,CR
2023-04-18,0.0626,CR
2023-04-19,0.0626,CR
2023-04-20,0.0626,CR
2023-04-21,0.05122,CR
2023-04-22,0.05691,CR
2023-04-23,0.08537,CR
2023-04-24,0.05122,CR
2023-04-25,0.02845,CR
2023-04-26,0.05691,CR
2023-04-27,0.17643,CR
2023-04-28,0.13659,CR
2023-04-29,0.14797,CR
2023-04-30,0.44393,CR
2023-05-01,0.25042,CR
2023-05-02,0.10813,CR
2023-05-03,0.09675,CR
2023-05-04,0.06829,CR
2023-05-05,0.07398,CR
2023-05-06,0.06829,CR
2023-05-07,0.07968,CR
2023-05-08,0.0626,CR
2023-05-09,0.05122,CR
2023-05-10,0.04553,CR
2023-05-11,0.05122,CR
2023-05-12,0.05691,CR
2023-05-13,0.05691,CR
2023-05-14,0.0626,CR
2023-05-15,0.05122,CR
2023-05-16,0.08537,CR
2023-05-17,0.0626,CR
2023-05-19,0.07398,CR
2023-05-20,0.05691,CR
2023-05-21,0.08537,CR
2023-05-22,0.03414,CR
2023-05-23,0.04553,CR
2023-05-24,0.06829,CR
2023-05-25,0.09106,CR
2023-05-26,0.09675,CR
2023-05-27,0.04553,CR
