period,ratio,title
2023-06-14,6.08213,HYBE
2023-06-15,5.65002,HYBE
2023-06-16,4.87827,HYBE
2023-06-17,2.06449,HYBE
2023-06-18,1.88289,HYBE
2023-06-19,4.65402,HYBE
2023-06-20,4.27332,HYBE
2023-06-21,4.08296,HYBE
2023-06-22,5.9131,HYBE
2023-06-23,4.65537,HYBE
2023-06-24,1.54011,HYBE
2023-06-25,1.38994,HYBE
2023-06-26,3.86949,HYBE
2023-06-27,4.0219,HYBE
2023-06-28,3.7027,HYBE
2023-06-29,3.77274,HYBE
2023-06-30,3.91191,HYBE
2023-01-01,25.17076,NEWJEANS
2023-01-02,37.85222,NEWJEANS
2023-01-03,37.80396,NEWJEANS
2023-01-04,34.55582,NEWJEANS
2023-01-05,31.85202,NEWJEANS
2023-01-06,31.95573,NEWJEANS
2023-01-07,33.33804,NEWJEANS
2023-01-08,33.89609,NEWJEANS
2023-01-09,26.05744,NEWJEANS
2023-01-10,25.08322,NEWJEANS
2023-01-11,24.60756,NEWJEANS
2023-01-12,23.79384,NEWJEANS
2023-01-13,24.83652,NEWJEANS
2023-01-14,28.27951,NEWJEANS
2023-01-15,39.38045,NEWJEANS
2023-01-16,30.72494,NEWJEANS
2023-01-17,25.5086,NEWJEANS
2023-01-18,30.74963,NEWJEANS
2023-01-19,32.39076,NEWJEANS
2023-01-20,34.08554,NEWJEANS
2023-01-21,48.71522,NEWJEANS
2023-01-22,42.41938,NEWJEANS
2023-01-23,34.37107,NEWJEANS
2023-01-24,29.38999,NEWJEANS
2023-01-25,28.04359,NEWJEANS
2023-01-26,28.66044,NEWJEANS
2023-01-27,30.58643,NEWJEANS
2023-01-28,31.16064,NEWJEANS
2023-01-29,31.82015,NEWJEANS
2023-01-30,25.84306,NEWJEANS
2023-01-31,24.1283,NEWJEANS
2023-02-01,23.69821,NEWJEANS
2023-02-02,23.78374,NEWJEANS
2023-02-03,23.41941,NEWJEANS
2023-02-04,25.85586,NEWJEANS
2023-02-05,24.05355,NEWJEANS
2023-02-06,20.63414,NEWJEANS
2023-02-07,19.09402,NEWJEANS
2023-02-08,19.35463,NEWJEANS
2023-02-09,18.71376,NEWJEANS
2023-02-10,29.14733,NEWJEANS
2023-02-11,24.8547,NEWJEANS
2023-02-12,22.10669,NEWJEANS
2023-02-13,21.47681,NEWJEANS
2023-02-14,24.99276,NEWJEANS
2023-02-15,20.46039,NEWJEANS
2023-02-16,21.55426,NEWJEANS
2023-02-17,21.40004,NEWJEANS
2023-02-18,21.62631,NEWJEANS
2023-02-19,20.89049,NEWJEANS
2023-02-20,17.79162,NEWJEANS
2023-02-21,17.15029,NEWJEANS
2023-02-22,17.30518,NEWJEANS
2023-02-23,16.35071,NEWJEANS
2023-02-24,16.55364,NEWJEANS
2023-02-25,19.92457,NEWJEANS
2023-02-26,18.48524,NEWJEANS
2023-02-27,16.08583,NEWJEANS
2023-02-28,16.32625,NEWJEANS
2023-03-01,15.88852,NEWJEANS
2023-03-02,12.82534,NEWJEANS
2023-03-03,13.86376,NEWJEANS
2023-03-04,17.03244,NEWJEANS
2023-03-05,18.05111,NEWJEANS
2023-03-06,13.67835,NEWJEANS
2023-03-07,14.05322,NEWJEANS
2023-03-08,13.68508,NEWJEANS
2023-03-09,13.44624,NEWJEANS
2023-03-10,12.47359,NEWJEANS
2023-03-11,14.65818,NEWJEANS
2023-03-12,14.01393,NEWJEANS
2023-03-13,10.91058,NEWJEANS
2023-03-14,11.00485,NEWJEANS
2023-03-15,11.20935,NEWJEANS
2023-03-16,10.81854,NEWJEANS
2023-03-17,11.44303,NEWJEANS
2023-03-18,14.21013,NEWJEANS
2023-03-19,13.52548,NEWJEANS
2023-03-20,10.95053,NEWJEANS
2023-03-21,9.8551,NEWJEANS
2023-03-22,10.03019,NEWJEANS
2023-03-23,10.21919,NEWJEANS
2023-03-24,10.64974,NEWJEANS
2023-03-25,13.29315,NEWJEANS
2023-03-26,12.29401,NEWJEANS
2023-03-27,10.12918,NEWJEANS
2023-03-28,9.67754,NEWJEANS
2023-03-29,11.07175,NEWJEANS
2023-03-30,11.03202,NEWJEANS
2023-03-31,10.81203,NEWJEANS
2023-04-01,11.54988,NEWJEANS
2023-04-02,11.34404,NEWJEANS
2023-04-03,11.67267,NEWJEANS
2023-04-04,12.03901,NEWJEANS
2023-04-05,11.76807,NEWJEANS
2023-04-06,12.91625,NEWJEANS
2023-04-07,11.93373,NEWJEANS
2023-04-08,13.59776,NEWJEANS
2023-04-09,12.35619,NEWJEANS
2023-04-10,10.21179,NEWJEANS
2023-04-11,10.71708,NEWJEANS
