period,ratio,title
2023-01-05,4.23932,AESPA
2023-01-06,3.83321,AESPA
2023-01-07,4.39709,AESPA
2023-01-08,4.13831,AESPA
2023-01-09,3.57026,AESPA
2023-01-10,3.65332,AESPA
2023-01-11,3.83905,AESPA
2023-01-12,4.06527,AESPA
2023-01-13,4.25602,AESPA
2023-01-14,4.96598,AESPA
2023-01-15,4.86163,AESPA
2023-01-16,4.5415,AESPA
2023-01-17,4.38624,AESPA
2023-01-18,5.54029,AESPA
2023-01-19,5.60165,AESPA
2023-01-20,5.91635,AESPA
2023-01-21,4.69468,AESPA
2023-01-22,4.2101,AESPA
2023-01-23,4.0732,AESPA
2023-01-24,4.74101,AESPA
2023-01-25,4.49684,AESPA
2023-01-26,4.32488,AESPA
2023-01-27,4.10159,AESPA
2023-01-28,4.15334,AESPA
2023-01-29,4.84536,AESPA
2023-01-30,4.34784,AESPA
2023-01-31,3.72427,AESPA
2023-02-01,3.39329,AESPA
2023-02-02,3.18711,AESPA
2023-02-03,3.38119,AESPA
2023-02-04,4.1379,AESPA
2023-02-05,4.08656,AESPA
2023-02-06,3.4968,AESPA
2023-02-07,3.67711,AESPA
2023-02-08,3.53896,AESPA
2023-02-09,3.26432,AESPA
2023-02-10,5.73354,AESPA
2023-02-11,4.37706,AESPA
2023-02-12,3.66417,AESPA
2023-02-13,3.49179,AESPA
2023-02-14,3.81443,AESPA
2023-02-15,3.61826,AESPA
2023-02-16,6.34625,AESPA
2023-02-17,5.23978,AESPA
2023-02-18,5.96477,AESPA
2023-02-19,5.30113,AESPA
2023-02-20,4.80737,AESPA
2023-02-21,4.95012,AESPA
2023-02-22,4.98184,AESPA
2023-02-23,4.15125,AESPA
2023-02-24,4.30151,AESPA
2023-02-25,5.45515,AESPA
2023-02-26,7.0295,AESPA
2023-02-27,5.84415,AESPA
2023-02-28,4.35243,AESPA
2023-03-01,4.25852,AESPA
2023-03-02,4.08572,AESPA
2023-03-03,3.23803,AESPA
2023-03-04,3.79064,AESPA
2023-03-05,3.80107,AESPA
2023-03-06,2.90788,AESPA
2023-03-07,3.00471,AESPA
2023-03-08,3.14871,AESPA
2023-03-09,3.44463,AESPA
2023-03-10,3.14537,AESPA
2023-03-11,3.20798,AESPA
2023-03-12,3.32693,AESPA
2023-03-13,2.58399,AESPA
2023-03-14,3.42042,AESPA
2023-03-15,2.72048,AESPA
2023-03-16,4.59075,AESPA
2023-03-17,3.63829,AESPA
2023-03-18,3.65165,AESPA
2023-03-19,3.65415,AESPA
2023-03-20,3.3311,AESPA
2023-03-21,2.73508,AESPA
2023-03-22,2.61864,AESPA
2023-03-23,2.58316,AESPA
2023-03-24,3.58654,AESPA
2023-03-25,3.61742,AESPA
2023-03-26,4.57072,AESPA
2023-03-27,3.4943,AESPA
2023-03-28,3.13535,AESPA
2023-03-29,2.88158,AESPA
2023-03-30,2.64994,AESPA
2023-03-31,3.67502,AESPA
2023-04-01,3.44129,AESPA
2023-04-02,3.62828,AESPA
2023-04-03,3.38077,AESPA
2023-04-04,3.15872,AESPA
2023-04-05,3.10739,AESPA
2023-04-06,2.98676,AESPA
2023-04-07,3.08819,AESPA
2023-04-08,3.01431,AESPA
2023-04-09,3.28936,AESPA
2023-04-10,3.09027,AESPA
2023-04-11,3.39621,AESPA
2023-04-12,3.32609,AESPA
2023-04-13,3.01348,AESPA
2023-04-14,3.63996,AESPA
2023-04-15,3.79523,AESPA
2023-04-16,3.56275,AESPA
2023-04-17,4.48098,AESPA
2023-04-18,4.02061,AESPA
2023-04-19,3.70257,AESPA
2023-04-20,3.33736,AESPA
2023-04-21,3.16832,AESPA
2023-04-22,3.4559,AESPA
2023-04-23,3.38453,AESPA
