period,ratio,title
2023-06-25,5.10891,MAX
2023-06-26,24.71833,MAX
2023-06-27,100.0,MAX
2023-06-28,40.4493,MAX
2023-06-29,28.15636,MAX
2023-06-30,26.12495,MAX
2023-01-02,3.80744,NM
2023-01-03,3.52133,NM
2023-01-04,3.50904,NM
2023-01-05,3.81222,NM
2023-01-06,3.69545,NM
2023-01-07,4.33526,NM
2023-01-08,4.35438,NM
2023-01-09,3.0495,NM
2023-01-10,3.22362,NM
2023-01-11,3.10413,NM
2023-01-12,3.10276,NM
2023-01-13,3.19426,NM
2023-01-14,4.8665,NM
2023-01-15,3.37657,NM
2023-01-16,2.99624,NM
2023-01-17,2.89928,NM
2023-01-18,3.26596,NM
2023-01-19,3.36701,NM
2023-01-20,2.96415,NM
2023-01-21,2.97439,NM
2023-01-22,2.91635,NM
2023-01-23,2.97439,NM
2023-01-24,3.28712,NM
2023-01-25,3.14373,NM
2023-01-26,3.34175,NM
2023-01-27,3.01809,NM
2023-01-28,3.04062,NM
2023-01-29,2.89996,NM
2023-01-30,2.92727,NM
2023-01-31,2.65005,NM
2023-02-01,2.58381,NM
2023-02-02,3.41481,NM
2023-02-03,3.32195,NM
2023-02-04,3.1649,NM
2023-02-05,2.92591,NM
2023-02-06,3.36906,NM
2023-02-07,3.50904,NM
2023-02-08,3.03653,NM
2023-02-09,2.90952,NM
2023-02-10,4.31888,NM
2023-02-11,3.31512,NM
2023-02-12,3.52202,NM
2023-02-13,4.14407,NM
2023-02-14,4.26561,NM
2023-02-15,3.15807,NM
2023-02-16,2.95186,NM
2023-02-17,3.20245,NM
2023-02-18,3.91054,NM
2023-02-19,3.64766,NM
2023-02-20,4.099,NM
2023-02-21,3.82997,NM
2023-02-22,3.96039,NM
2023-02-23,3.22362,NM
2023-02-24,2.92591,NM
2023-02-25,3.19494,NM
2023-02-26,2.9778,NM
2023-02-27,3.324,NM
2023-02-28,3.54523,NM
2023-03-01,2.85899,NM
2023-03-02,2.97849,NM
2023-03-03,4.55855,NM
2023-03-04,3.53158,NM
2023-03-05,3.81563,NM
2023-03-06,3.63605,NM
2023-03-07,3.03379,NM
2023-03-08,2.4609,NM
2023-03-09,2.42608,NM
2023-03-10,2.2383,NM
2023-03-11,2.1748,NM
2023-03-12,2.27313,NM
2023-03-13,6.36462,NM
2023-03-14,4.09423,NM
2023-03-15,3.40594,NM
2023-03-16,3.55821,NM
2023-03-17,3.56503,NM
2023-03-18,4.6719,NM
2023-03-19,5.39364,NM
2023-03-20,11.68521,NM
2023-03-21,9.89211,NM
2023-03-22,7.50904,NM
2023-03-23,8.40969,NM
2023-03-24,9.36428,NM
2023-03-25,9.60737,NM
2023-03-26,8.63912,NM
2023-03-27,6.95595,NM
2023-03-28,6.66302,NM
2023-03-29,7.96722,NM
2023-03-30,8.99283,NM
2023-03-31,8.31819,NM
2023-04-01,11.08637,NM
2023-04-02,8.72243,NM
2023-04-03,6.03277,NM
2023-04-04,6.21372,NM
2023-04-05,6.18436,NM
2023-04-06,6.52645,NM
2023-04-07,6.34482,NM
2023-04-08,6.29566,NM
2023-04-09,6.06828,NM
2023-04-10,5.68043,NM
2023-04-11,5.3438,NM
2023-04-12,5.68726,NM
2023-04-13,5.92215,NM
2023-04-14,6.97712,NM
2023-04-15,7.42779,NM
2023-04-16,7.16012,NM
2023-04-17,5.64151,NM
2023-04-18,4.8071,NM
2023-04-19,4.66575,NM
2023-04-20,4.3496,NM
2023-04-21,4.099,NM
2023-04-22,7.76237,NM
2023-04-23,5.65653,NM
2023-04-24,4.82622,NM
2023-04-25,4.31614,NM
2023-04-26,3.90372,NM
2023-04-27,3.87572,NM
2023-04-28,3.62376,NM
2023-04-29,4.59679,NM
2023-04-30,5.2045,NM
2023-05-01,3.87094,NM
2023-05-02,3.33697,NM
2023-05-03,3.46602,NM
2023-05-04,3.46329,NM
2023-05-05,4.1748,NM
2023-05-06,4.3817,NM
2023-05-07,6.04848,NM
2023-05-08,3.67156,NM
2023-05-09,3.26322,NM
2023-05-10,3.44759,NM
2023-05-11,3.05906,NM
2023-05-12,3.24479,NM
2023-05-13,3.61625,NM
2023-05-14,3.66404,NM
2023-05-15,3.34038,NM
2023-05-16,3.6299,NM
2023-05-17,3.58074,NM
2023-05-18,3.30488,NM
2023-05-19,3.11027,NM
2023-05-20,3.87572,NM
2023-05-21,3.65107,NM
2023-05-22,3.47558,NM
2023-05-23,2.85831,NM
2023-05-24,2.77432,NM
2023-05-25,2.69375,NM
2023-05-26,2.986,NM
2023-05-27,4.49914,NM
