period,ratio,title
2023-06-24,6.36993,JYP
2023-06-25,5.86181,JYP
2023-06-26,14.91143,JYP
2023-06-27,17.47473,JYP
2023-06-28,17.71885,JYP
2023-06-29,14.95685,JYP
2023-06-30,17.65924,JYP
2023-01-01,76.16384,STRAYKIDS
2023-01-02,25.10503,STRAYKIDS
2023-01-03,20.54047,STRAYKIDS
2023-01-04,19.83365,STRAYKIDS
2023-01-05,21.39491,STRAYKIDS
2023-01-06,25.19302,STRAYKIDS
2023-01-07,38.66526,STRAYKIDS
2023-01-08,35.35823,STRAYKIDS
2023-01-09,24.92903,STRAYKIDS
2023-01-10,25.10503,STRAYKIDS
2023-01-11,24.16259,STRAYKIDS
2023-01-12,22.8114,STRAYKIDS
2023-01-13,21.98535,STRAYKIDS
2023-01-14,21.88032,STRAYKIDS
2023-01-15,21.48858,STRAYKIDS
2023-01-16,20.65118,STRAYKIDS
2023-01-17,23.03281,STRAYKIDS
2023-01-18,22.74043,STRAYKIDS
2023-01-19,24.50891,STRAYKIDS
2023-01-20,25.56205,STRAYKIDS
2023-01-21,22.66662,STRAYKIDS
2023-01-22,19.90745,STRAYKIDS
2023-01-23,22.95617,STRAYKIDS
2023-01-24,28.38934,STRAYKIDS
2023-01-25,25.34347,STRAYKIDS
2023-01-26,26.77699,STRAYKIDS
2023-01-27,26.69183,STRAYKIDS
2023-01-28,27.3362,STRAYKIDS
2023-01-29,24.1995,STRAYKIDS
2023-01-30,23.84183,STRAYKIDS
2023-01-31,22.66662,STRAYKIDS
2023-02-01,25.30941,STRAYKIDS
2023-02-02,22.53605,STRAYKIDS
2023-02-03,23.16907,STRAYKIDS
2023-02-04,23.04984,STRAYKIDS
2023-02-05,22.4963,STRAYKIDS
2023-02-06,24.1995,STRAYKIDS
2023-02-07,20.83002,STRAYKIDS
2023-02-08,24.53162,STRAYKIDS
2023-02-09,22.26637,STRAYKIDS
2023-02-10,23.10378,STRAYKIDS
2023-02-11,20.91801,STRAYKIDS
2023-02-12,21.47723,STRAYKIDS
2023-02-13,24.06324,STRAYKIDS
2023-02-14,22.92494,STRAYKIDS
