video_title,video_id
령지곤지의 #하트만들기 💝 #ITZY #YEJI #CHAERYEONG #ITZY_KILLMYDOUBT #ITZY_CAKE,dssozoK9L1s
ITZY - Kill Shot (Audio Clip),Xkk6-iihefk
ITZY -  Psychic Lover (Audio Clip),dzhdy5vlIAI
ITZY - Bratty (나쁜 애) (Audio Clip),-Rfu2--mB8s
ITZY - None of My Business (Audio Clip),sMOvYOiklOI
ITZY - CAKE (Audio Clip),g_0p9wP4Ejg
ITZY - BET ON ME (Audio Clip),Al8Rif4USKE
"Listen to ITZY's new song ""CAKE"" on #YouTubeMusic Thank you @youtubemusic ❤️ #Shorts",FPlFozwjUMc
"🎬왕하고 CAKE에게 먹히지 못한 령채🦊 (NG Ver.)
#ITZY #RYUJIN #CHAERYEONG
#ITZY_CAKE #CakeChallenge #CAKE_망한챌린지대회",5j2NxeS9osA
"🍰왕하고 CAKE에게 먹혀버린 령채🦊
#ITZY #RYUJIN #CHAERYEONG #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE",VFQRwXcOC8o
"🍰왕하고 CAKE에게 먹혀버린 예지수😆
#ITZY #YEJI #LIA #YUNA #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE",MEMWOIUGmIs
"ITZY ""KILL MY DOUBT"" SHOWCASE",B6WlE_uMy9E
#인피니트 #INFINITE 선배님과 #CAKEChallenge 지금부터 #Begin ❤️‍🔥 이건 마치 #New_Emotions ♾️ #ITZY #MIDZY #ITZY_CAKE,f9XVIpqwsCY
🎬왕하고 CAKE에게 먹히지 못한 령채🥰 (NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE#CAKE_망한챌린지대회 #CAKEChallenge,IbdIijBgZdw
🎬왕하고 CAKE에게 먹히지 못한 령지곤지🤍(NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE #CAKE_망한챌린지대회 #CAKEChallenge,7UAILVPHRog
🎬왕하고 CAKE에게 먹히지 못한 유우나🐰 (NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE#CAKE_망한챌린지대회 #CAKEChallenge,1oav1DUrADI
🎬왕하고 CAKE에게 먹히지 못한 땡덩😲 (NG Ver.) #ITZY #ITZY_Turning_CAKE #CAKE_망한챌린지대회 #CAKEChallenge,b2lYws4MBTI
#오마이걸 #OHMYGIRL 선배님과 챌린지를 하니 시원한 #여름이_들려 🩵 #ITZY #ITZY_CAKE #CAKEChallenge,Q8Uqb7bnwck
아이돌 인간극장에서 ITZY가 왕! 하고 먹어버려 다!🥊#ITZY #MIDZY #LIA #리아 #RYUJIN #류진 #YUNA #유나#ITZY_CAKE #CAKEChallenge,xWAqpbUKbjo
아이돌 인간극장에서 ITZY가 왕! 하고 먹어버려 다!😋#ITZY #MIDZY#YEJI #예지 #CHAERYEONG #채령 #ITZY_CAKE #CAKEChallenge,WqORIMHSQDQ
동네스타 #조나단 님도 신나게 Ooh wee~😆🤟 다 같이 CAKE CAKE CAKE CAKE CAKE🍰 #ITZY #ITZY_CAKE #CAKEChallenge,EbnjuPx_RF4
🍰왕하고 CAKE에게 먹혀버린 령채🥰#ITZY #CHAERYEONG #YUNA #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE,_e2CUA0tC9o
🍰왕하고 CAKE에게 먹혀버린 예지수🖤🩵#ITZY #YEJI  #LIA #RYUJIN #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE,Y4I6YJUFJWY
🍰왕하고 CAKE에게 먹혀버린 유우나🐰#ITZY #LIA #YUNA #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE,PkMlIZhz1Sk
🍰왕하고 CAKE에게 먹혀버린 땡덩😲#ITZY #YEJI #RYUJIN #CHAERYEONG #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE,oEdJBatk7k8
🥊 채리즈 왕! 하고 먹어버려 다🥊 #ITZY #있지 #LIA #리아 #CHAERYEONG #채령#ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,qpqvfftM3eg
땡덩's a piece of cake🍰❤️‍🔥#ITZY #YEJI #예지 #RYUJIN #류진#ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,sdqE4Ur_qhU
It's a piece of cake🍰 cake🍰 cake🍰 cake🍰 cake🍰 #ITZY #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,0SBf7td0TP0
CAKE CAKE CAKE CAKE CAKE🍰 CAKE is everywhere❤️‍🔥#ITZY #MIDZY #CAKEChallenge #ITZY_CAKE,hkVs8FW3OqI
🍰ITZY's CAKE🍰#ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,3XrU-08tPyw
CAKE TUTORIAL - MIRRORED VER. (1.0x)🍰 It's a piece of cake 🍰,9GAbEtGBnmo
CAKE TUTORIAL - MIRRORED VER. (0.9x)🍰 It's a piece of cake 🍰,OTbCk8bFTJk
CAKE TUTORIAL - MIRRORED VER. (0.8x) 🍰 It's a piece of cake 🍰,KRml8E4G1Ec
"Thanks so much to @YouTubeMusic for the support! Listen to ""CAKE"" on #YouTubeMusic 🍰 #Shorts",jWf_NE8Jr68
MIDZY is a piece of ITZY🍰❤‍🔥🎉Thank you MIDZY for 10M VIEWS🎉,vTgx5oHT6pY
