channel,channel_id,playlist_id
SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,UUEf_Bc-KVd7onSeifS3py9g
NCT,UC9GtSLeksfK4yuJ_g1lgQbg,UU9GtSLeksfK4yuJ_g1lgQbg
aespa,UC9GtSLeksfK4yuJ_g1lgQbg,UU9GtSLeksfK4yuJ_g1lgQbg
EXO,UC9GtSLeksfK4yuJ_g1lgQbg,UU9GtSLeksfK4yuJ_g1lgQbg
BoA,UCEdZAdnnKqbaHOlv8nM6OtA,UUEdZAdnnKqbaHOlv8nM6OtA
SHINee,UC9GtSLeksfK4yuJ_g1lgQbg,UU9GtSLeksfK4yuJ_g1lgQbg
