channel,channel_id
HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA
NewJeans,UCfkXDY7vwkcJ8ddFGz8KusA
BANGTANTV,UCfkXDY7vwkcJ8ddFGz8KusA
LE SSERAFIM,UCfkXDY7vwkcJ8ddFGz8KusA
SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA
TOMORROW X TOGETHER OFFICIAL,UCfkXDY7vwkcJ8ddFGz8KusA
