channel,channel_id,playlist_id
JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,UUaO6TYtlC8U5ttz62hTrZgg
Stray Kids,UCDhM2k2Cua-JdobAh5moMFg,UUDhM2k2Cua-JdobAh5moMFg
TWICE,UCDhM2k2Cua-JdobAh5moMFg,UUDhM2k2Cua-JdobAh5moMFg
NMIXX,UCDhM2k2Cua-JdobAh5moMFg,UUDhM2k2Cua-JdobAh5moMFg
DAY6,UCTP45_DE3fMLujU8sZ-MBzw,UUTP45_DE3fMLujU8sZ-MBzw
ITZY,UCDhM2k2Cua-JdobAh5moMFg,UUDhM2k2Cua-JdobAh5moMFg
