title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
aespa 에스파 'Spicy' MV,Os_heh8vPfs,2023-05-08,10,108254611,1241137,-,160931,에스파|aespa|스파이시|spicy|my world|마이 월드|마이|MY|카리나|윈터|지젤|닝닝|KARINA|WINTER|GISELLE|NINGNING|MV|MUSIC VIDEO|뮤직비디오|뮤비,-,3,25
SUNGMIN 성민 '사랑이 따끔 (Lovesick)' MV Teaser #1,GIHnCkdqM0U,2023-05-07,10,63315,5654,-,683,성민|sungmin|사랑이 따끔|lovesick|티저|teaer|뮤직비디오|뮤비|트로트|trot,-,-,23
aespa 에스파 'Spicy' MV Teaser,KO5U18aeOF4,2023-05-06,10,365453,44804,-,353,-,-,-,29
aespa 에스파 'Spicy' MV Teaser,lUusUqBiWlc,2023-05-06,10,2152592,189484,-,9531,에스파|aespa|MY WORLD|Spicy|마이 월드|스파이시|MY|마이|카리나|지젤|윈터|닝닝|KARINA|WINTER|GISELLE|NINGNING|MV|뮤직비디오|MUSIC VIDEO|뮤비,-,-,29
[STATION] 최강창민 X 하현우 (국카스텐) 'HYBRID' MV,CCODvb5wGLc,2023-05-04,10,252419,13966,-,1060,최강창민|MAX CHANGMIN|동방신기|TVXQ|창민|하현우|국카스텐|Ha Hyunwoo|Guckkasten|스테이션|station|sm|에스엠|슴스테|하이브리드|HYBRID|뮤직비디오|뮤비|mv,-,-,5
[STATION] 최강창민 X 하현우 (국카스텐) 'HYBRID' MV Teaser,D7AplTF6e2k,2023-05-03,10,73552,5903,-,283,최강창민|MAX CHANGMIN|동방신기|TVXQ|창민|하현우|국카스텐|Ha Hyunwoo|Guckkasten|스테이션|station|sm|에스엠|슴스테|하이브리드|HYBRID|뮤직비디오|뮤비|티저|teaser|mv,-,-,23
aespa 에스파 'Welcome To MY World (Feat. nævis)' MV,0xdB_vo4r2c,2023-05-02,10,19535216,582838,-,31924,-,-,3,32
ScreaM Records 'SCREAM! ep.1 : Journey of Emotions' MV,Kit8hBmNgw0,2023-04-28,10,44449,2928,-,132,Scream Records|스크림레코즈|스크림|scream records|sm|compilation|SCREAM|Journey of Emotions|DJ|디제이|뮤직비디오|뮤비|MV|Salamanda|Ether|IMLAY|SURFER|SUNGYOO|Say It|Mar Vista|Colours|Moon Kyoo|artemis orion|constant string of|Faver|Haz Haus|Right Time|Xeomi|OUTRAGE!|Minit|Will Not Fear|Akrapovic|June One|Tumors|No Identity|Cyber Noise|BRLLNT|Down|Pierre Blanche|Alongside|GINJO|Young Hearts,-,5,15
ScreaM Records 'SCREAM! ep.1 : Journey of Emotions' MV Teaser,luHA5MKSlWY,2023-04-27,10,34659,2324,-,81,Scream Records|스크림레코즈|스크림|scream records|sm|compilation|SCREAM|Journey of Emotions|DJ|디제이|티저|Teaser,-,-,24
[STATION] 강타 (KANGTA) X 이아름 'When I Close My Eyes' MV,IR8Z2RSrCjs,2023-04-22,10,60943,4778,-,260,강타|이아름|when i close my eyes|sm station|station|한빛예술단|kangta|lee areum|animation|music video,-,-,4
