title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[T-MI] 얼굴 공격 심한 비주얼바이투게더 완전체 라이브💚 (feat. 영원히 고통받는 수빈 그립톡🐰) – TXT (투모로우바이투게더),wo1XQo78tiw,2023-06-24 00:00:00,10,96272,15292,-,350,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,42
"Oh my god, I'm the first page #DoItLikeThat #SOOBIN 🐰💙 #shorts #TOMORROW_X_TOGETHER #JonasBrothers",Lr96RNFPQ5I,2023-06-23 00:00:00,10,943254,171127,-,1323,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,20
[EPISODE] TXT (투모로우바이투게더) ‘2023 Weverse Magazine’ Photoshoot Sketch,9cduQuIsPGM,2023-06-23 00:00:00,10,118151,20216,-,513,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,7,10
Pre-save it like that #DoItLikeThat #NewMusic 🧡 #shorts #JonasBrothers #TXT #TOMORROW_X_TOGETHER,laCUcsEm0-k,2023-06-22 00:00:00,10,851681,128233,-,766,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,21
What's going on with TXT? EP.2 - We loved our brand new single!💿💙 #TXT #JonasBrothers #DoItLikeThat,szBG_8-JI5M,2023-06-22 00:00:00,10,127725,29299,-,238,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,58
[T:TIME] Daily TXT #16 SOOBIN in Atlanta,4GbLmfU5VxE,2023-06-22 00:00:00,10,76211,15303,-,370,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,59
[T:TIME] Green Room Raid! MISSION TIME #HUENINGKAI in Belmont Park,XBkxP4Zb3ZM,2023-06-21 00:00:00,10,100253,17093,-,379,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,11
‘초대 (Invitation)’ Tribute stage @ 2023 Weverse Con Festival - TXT (투모로우바이투게더),-RmORz4NG0k,2023-06-20 00:00:00,10,2027885,125899,-,3784,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,14
‘0X1=LOVESONG (I Know I Love You) feat. Seori’ stage @ 2023 Weverse Con Festival - TXT (투모로우바이투게더),_xaDtzCc33M,2023-06-20 00:00:00,10,388409,38050,-,929,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,29
우정 캐처? 골드 캐처? 모르겠고 일단 장난 GO! 🤩 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #TODO,V836Yzb-pg4,2023-06-20 00:00:00,10,78061,20574,-,106,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,37
"TO DO X TXT - EP.113 I am friendship catcher, partner rings when you transfer Part 2",aXSQNElGqCA,2023-06-19 00:00:00,10,656681,51764,-,1437,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,34,10
What's going on with TXT? EP.1 - Guess who we met in LA 🙄 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER,Mho-eyAodiI,2023-06-18 00:00:00,10,122479,27278,-,198,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,52
"[T:TIME] Daily TXT #15 HUENINGKAI in Washington, D.C.",QqPzS7PzwIk,2023-06-18 00:00:00,10,55494,12884,-,395,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,54
[T:TIME] Green Room Raid! MISSION TIME #TAEHYUN in Charlotte,LV6lcxJ8ryw,2023-06-17 00:00:00,10,83690,15650,-,352,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,59
[T-MI] 형아즈는 살아있는 토끼🐰와 여우🦊 그 자체! (with 새싹패피🌱 휴닝카이) – TXT (투모로우바이투게더),WV1_YbYKF6Y,2023-06-17 00:00:00,10,76936,13355,-,364,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,19
Did you have questions? Here are the answers 👀💭 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT,gmuzffPWKD0,2023-06-16 00:00:00,10,148822,32551,-,275,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,21
[T:TIME] Daily TXT #14 TAEHYUN in Belmont Park,C4t__jqK4s4,2023-06-13 00:00:00,10,73326,14756,-,391,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,47
투모로우바이투게더가 짝꿍촌에 온 이유는 과연? 🏡 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #TODO,f8Ra3xBEhAI,2023-06-13 00:00:00,10,74698,18508,-,120,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,34
"TO DO X TXT - EP.112 I am friendship catcher, partner rings when you transfer Part 1",Rq16iymT7BQ,2023-06-12 00:00:00,10,1006668,70132,-,2322,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,36,34
