DATE,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI,keyword,view_log_like_sum,view_log_like_avg,count,trend,DAY,SENTIMENT,EVENT
2023-01-02,67800.0,68200.0,64300.0,67200.0,467158.0,-0.0088495575221239,2079.996957320014,2311.228173984701,68400.0,68967.41288056542,65775.0,62582.58711943458,78.84615384615385,82.83289755226406,2.9096477794793296,3717064.0,-280294800.0,185.23899,11581889.50378856,7547272.963388265,2.0,20.99929128784742,월,25.00863068766667,
2023-01-03,66900.0,69400.0,66500.0,68000.0,514102.0,0.0119047619047618,2032.6045748960316,2255.5034541669675,64300.0,69211.70602303318,65965.0,62718.29397696681,80.93465674110836,81.74212531695348,5.919003115264787,4231166.0,411281600.0,85.53988,13666175.642906114,6833087.821453057,2.0,20.62545649649747,화,175.72484044,
2023-01-04,67500.0,67600.0,64600.0,65100.0,724974.0,-0.0426470588235293,1740.9711747074834,2152.5969982750707,64300.0,69150.3204963593,66030.0,62909.67950364069,61.66253101736973,73.81444720154398,-0.1533742331288334,3506192.0,-2102424600.0,82.35776,6591036.385991802,2197012.1286639343,3.0,19.569672714713697,수,21.09729825499999,
2023-01-05,65100.0,65800.0,63200.0,64600.0,391061.0,-0.0076804915514593,1452.757300773912,2012.629058774839,69400.0,69034.0304523771,66095.0,63155.96954762289,43.5483870967742,62.04852495175078,-4.296296296296298,3115131.0,-195530500.0,86.81160000000001,17912909.542804588,8956454.771402294,2.0,20.91081185743252,목,277.915244361,
2023-01-06,64500.0,64500.0,62200.0,63100.0,483954.0,-0.0232198142414861,1090.7349516718386,1828.2502373542388,69276.0,69076.3978374041,66080.0,63083.6021625959,21.90860215053764,42.37317342156054,-4.826546003016596,2631177.0,-725931000.0,86.99896,5819489.860559612,5819489.860559612,1.0,20.31513320810381,금,393.1101595312,
2023-01-09,63500.0,65900.0,63500.0,65600.0,405861.0,0.0396196513470681,994.0993795642715,1661.4200657962454,68992.96,69074.38863848856,66110.0,63145.61136151145,27.43428912783752,30.963759458383134,-0.9063444108761364,3037038.0,1014652500.0,101.51014,3594837.2747345692,3594837.2747345692,0.6666666666666666,14.784999195666904,월,,
2023-01-10,65600.0,65900.0,63600.0,63800.0,384585.0,-0.0274390243902439,763.4692375476443,1481.8299001465252,68721.24160000001,69148.85244494645,66045.0,62941.14755505356,27.31481481481482,25.55256869773001,-6.038291605301915,2652453.0,-692253000.0,92.18801,20315182.4228521,5078795.605713025,4.0,20.60880883219906,화,0.333059783,
2023-01-11,64300.0,65700.0,64000.0,65400.0,297456.0,0.025078369905956,701.7109298417636,1325.806106085573,68460.39193600001,69071.77790136957,66125.0,63178.22209863044,37.96296296296297,30.904022301871787,-2.2421524663677084,2949909.0,475929600.0,88.79582,328565.6778299021,328565.6778299021,1.0,17.46134548675479,수,264.407935824,
2023-01-12,65900.0,66700.0,64700.0,66000.0,437126.0,0.0091743119266054,693.1913334358251,1199.2831515556234,68209.97625856001,69083.28582249496,66160.0,63236.71417750505,39.81481481481482,35.03086419753089,-1.9316493313521588,3387035.0,262275600.0,87.85624,11853194.792039614,3951064.9306798712,3.0,20.221188704204568,목,99.949087284,
2023-01-13,66000.0,66600.0,63600.0,63900.0,527302.0,-0.0318181818181818,511.0954521099702,1061.6456116664926,67969.57720821761,69111.12541879133,66145.0,63178.87458120868,40.27777777777778,39.35185185185188,-6.304985337243407,2859733.0,-1107334200.0,85.33266,17459637.32173698,4364909.330434245,4.0,20.38005928776544,금,254.872105137,
2023-01-16,63900.0,64400.0,63400.0,63800.0,232508.0,-0.001564945226917,354.6260812465771,920.2417055825096,67738.7941198889,69189.40202928268,66075.0,62960.59797071733,32.870370370370374,37.65432098765435,-4.633781763826605,2627225.0,-23250800.0,91.16042,9160761.952964809,4975827.70293944,2.3333333333333335,20.198181251861808,월,207.2611487825,
2023-01-17,64000.0,64800.0,63200.0,63900.0,330709.0,0.0015673981191222,235.97200343341683,783.387765152691,67517.24235509335,69074.60689394145,65895.0,62715.39310605855,23.14814814814815,32.098765432098794,-5.752212389380529,2957934.0,33070900.0,84.52081,64042815.93672612,12808563.187345224,5.0,21.5173312157187,화,460.55732248,
2023-01-18,64200.0,65200.0,63800.0,64800.0,357493.0,0.0140845070422535,212.11513901075523,669.1332399243039,67304.55266088962,69028.48874082488,65820.0,62611.51125917512,27.314814814814813,27.77777777777781,-3.57142857142857,3315427.0,321743700.0,85.88905,57875990.67790451,19291996.892634835,3.0,21.78424840484297,수,135.866302712,
2023-01-19,64600.0,67400.0,64400.0,66900.0,534076.0,0.0324074074074074,358.5279644458715,607.0121848286174,62200.0,69094.42896202402,65855.0,62615.571037975984,41.66666666666666,30.709876543209905,-1.6176470588235348,3849503.0,1121559600.0,89.95683,60406766.86453074,6040676.686453074,10.0,21.046716887938604,목,93.38566830199998,
2023-01-20,67100.0,67600.0,65700.0,66900.0,434430.0,0.0,469.15307879593456,579.4403636220808,62304.0,68946.00302451303,65805.0,62663.99697548697,55.55555555555555,41.51234567901238,2.764976958525356,3849503.0,0.0,99.42373,1695496341.3382614,141291361.77818844,12.0,24.354928518238435,금,616.8336476227,
2023-01-25,67400.0,68200.0,66700.0,67500.0,274608.0,0.0089686098654708,598.3419509642699,583.2206810905186,62515.84,69028.28983964813,65835.0,62641.71016035187,72.96296296296295,56.72839506172843,4.489164086687314,4124111.0,164764800.0,91.31748333333333,64158239.19364413,13825766.40285745,4.222222222222222,21.537306935807937,수,114.18313442244444,
2023-01-26,67600.0,69600.0,66800.0,68600.0,441583.0,0.0162962962962962,780.488879860095,622.6743208444339,62856.8896,69258.57112474933,65900.0,62541.42887525067,80.03253253253253,69.51701701701705,8.71632329635499,4565694.0,485741300.0,95.83283999999998,72892692.62704901,7289269.262704901,10.0,21.29787968591377,목,75.88942557200001,
2023-01-27,69000.0,71500.0,68800.0,71100.0,493335.0,0.0364431486880465,1113.7323269453043,720.8859220646079,63396.338432,69987.8289336465,66045.0,62102.1710663535,90.1729148503342,81.05613678194328,8.384146341463406,5059029.0,1233337500.0,98.10942,21243730.03616746,4248746.007233492,5.0,20.562926761932378,금,187.176044934,
2023-01-30,71300.0,71800.0,70100.0,70500.0,217376.0,-0.0084388185654008,1314.2651435853477,839.5617663687559,64206.7045888,70611.2854444279,66225.0,61838.71455557211,89.02304404930062,86.40949714405583,10.501567398119116,4841653.0,-130425600.0,89.43168,251447.59660535053,83815.86553511684,1.0,8.806816013221793,월,18.34572125,
2023-01-31,70200.0,73000.0,70100.0,72500.0,380705.0,0.0283687943262411,1615.9445282054803,994.8383187361007,65117.900038144,71597.85947647461,66460.0,61322.14052352538,91.82686828169628,90.3409423937771,10.856269113149851,5222358.0,761410000.0,91.16041,57737038.48718242,14434259.621795606,4.0,21.64212982875004,화,199.100468759,
2023-02-01,72800.0,73000.0,71500.0,72100.0,210046.0,-0.0055172413793103,1801.978866261663,1156.2664282412131,66221.39403280384,72397.96934823999,66705.0,61012.03065176001,90.19933554817275,90.34974929305662,9.242424242424253,5012312.0,-84018400.0,90.34005,3944077.932061134,986019.4830152836,4.0,18.949406324251875,수,149.840894534,
2023-02-02,72600.0,73100.0,70800.0,72100.0,264698.0,0.0,1927.1968933283351,1310.4525212586375,67170.39886821131,73052.27970707945,66910.0,60767.72029292055,91.87109187109188,91.29909856698704,12.832550860719882,5012312.0,0.0,93.24115,58752729.02880764,8393247.004115377,7.0,21.29967144134741,목,514.7668705560001,
