DATE,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI,keyword,view_log_like_sum,view_log_like_avg,count,trend,DAY,SENTIMENT,EVENT
2023-01-02,46550.0,49000.0,45950.0,48050.0,1483247.0,0.0957810718358038,686.6851878301677,731.1131684876161,42450.0,47632.663771325424,45037.5,42442.336228674576,38.7253179619592,30.89979431200808,6.070640176600439,2124425.0,6229637400.0,69.27633000000002,0.0,0.0,0.0,4.168033563738904,월,126.0277022566667,28.54838486533334
2023-01-03,47500.0,50800.0,47500.0,49500.0,1176815.0,0.0301768990634756,977.7768455275946,780.4459038956118,42450.0,48489.36434452113,45245.0,42000.63565547887,65.05084871862768,42.378023346163424,12.372304199772977,3301240.0,1706381750.0,60.65854,0.0,0.0,0.0,4.105260433391818,화,119.020562598,-33.33153299999999
2023-01-04,49800.0,50000.0,48350.0,48800.0,505379.0,-0.0141414141414141,1138.8568981905046,852.1281027545904,42784.0,49006.7081844548,45502.5,41998.2918155452,81.99174170742486,61.92263612933726,7.726269315673284,2795861.0,-353765300.0,53.81251,0.0,0.0,0.0,3.985505968018362,수,209.513567173,74.96573572
2023-01-05,49250.0,50100.0,48250.0,49100.0,445150.0,0.0061475409836064,1276.0124163943185,936.904965482536,43104.64,49529.032240877445,45745.0,41960.96775912256,80.03992015968066,75.69417019524441,4.802561366061897,3241011.0,133545000.0,51.66777999999999,0.0,0.0,0.0,3.9448343764060714,목,277.915244361,
2023-01-06,48700.0,49900.0,46950.0,49600.0,580137.0,0.010183299389002,1408.8150313244332,1031.2869786509154,43412.4544,50068.22703854145,46027.5,41986.77296145855,80.43912175648705,80.82359454119755,12.09039548022599,3821148.0,290068500.0,45.43369,0.0,0.0,0.0,3.8162539003337175,금,269.6111036342,
2023-01-09,50000.0,50500.0,48350.0,48800.0,569291.0,-0.0161290322580645,1432.9901281349305,1111.6276085477184,43707.956224,50402.52979727201,46207.5,42012.47020272799,80.43912175648705,80.3060545575516,9.4170403587444,3251857.0,-455432800.0,54.72752,128543.98785177119,32135.996962942798,1.3333333333333333,7.9500538272006045,월,-2.343486916333333,
2023-01-10,48750.0,48850.0,46850.0,47000.0,566170.0,-0.0368852459016393,1292.0106156287948,1147.7042099639336,43991.63797504,50476.377399732126,46312.5,42148.622600267874,72.05588822355291,77.64471057884236,-1.5706806282722474,2685687.0,-1019106000.0,43.50847,0.0,0.0,0.0,3.7729556317842703,화,0.333059783,
2023-01-11,47200.0,48150.0,47000.0,47900.0,278938.0,0.0191489361702128,1238.6276857094126,1165.8889051130295,44263.9724560384,50600.837308028655,46495.0,42389.16269197135,65.26946107784433,72.58815701929478,4.017372421281218,2964625.0,251044200.0,52.86058,0.0,0.0,0.0,3.9676578814958186,수,264.358589141,
2023-01-12,48550.0,49500.0,48050.0,48650.0,429192.0,0.0156576200417537,1242.517097473894,1181.2145435852024,44525.41355779686,50832.497002397,46662.5,42492.502997603,64.67065868263475,67.33200266134402,7.276736493936053,3393817.0,321894000.0,44.62746,0.0,0.0,0.0,3.7983493646308384,목,99.949087284,
2023-01-13,48650.0,49150.0,47650.0,49050.0,371950.0,0.0082219938335046,1263.3134503096153,1197.6343249300849,44776.39701548499,51025.14817362244,46912.5,42799.85182637756,72.8542914171657,67.59813705921495,9.000000000000007,3765767.0,148780000.0,47.36473,602185.1333580633,150546.28333951582,4.0,16.424297752808872,금,158.978361475,
2023-01-16,49100.0,49500.0,48100.0,48350.0,327658.0,-0.0142711518858308,1209.369698824099,1199.9813997088877,45017.34113486559,51153.28815031426,47065.0,42976.71184968574,74.65069860279444,70.72521623419833,12.967289719626171,3438109.0,-229360600.0,40.25447,0.0,0.0,0.0,3.7230438649832127,월,207.2611487825,
2023-01-17,48650.0,49250.0,48000.0,48100.0,192916.0,-0.0051706308169596,1133.3810650525556,1186.6613327776213,45248.64748947096,51238.88358706652,47127.5,43016.11641293348,72.4550898203593,73.32002661343984,9.692132269099195,3245193.0,-48229000.0,42.39531,0.0,0.0,0.0,3.7470377429122728,화,460.55732248,
2023-01-18,48100.0,49650.0,48100.0,49650.0,407679.0,0.0322245322245322,1184.5765107865009,1186.2443683793972,45470.70158989212,51425.95814177087,47397.5,43369.04185822913,74.85029940119763,73.98536260811714,3.329864724245568,3652872.0,631902450.0,39.77851,539133.0542131959,134783.26355329898,4.0,16.1391441763729,수,35.90667195500001,
2023-01-19,49900.0,52700.0,49500.0,52600.0,917357.0,0.0594159113796575,1446.5150906545605,1238.29851283443,45683.87352629644,52206.18177576926,47797.5,43388.81822423074,84.1369113624603,77.14743352800576,6.2626262626262585,4570229.0,2706203150.0,44.76735,0.0,0.0,0.0,3.801479079078165,목,1107.6700965485,
2023-01-20,52300.0,52900.0,51100.0,51900.0,502196.0,-0.0133079847908744,1579.412666441167,1306.521343555777,46104.841114718656,52762.08944628961,48005.0,43247.91055371039,89.40571260295451,82.79764112220415,6.3524590163934525,4068033.0,-351537200.0,39.91255999999999,0.0,0.0,0.0,3.686691061328214,금,898.6464984027,192.230694207
2023-01-25,52000.0,52100.0,50200.0,51000.0,487112.0,-0.0173410404624277,1593.7408222119702,1363.965239287016,46648.45382554116,53091.35058665795,48252.5,43413.64941334205,83.52821140699932,85.6902784574714,3.86965376782078,3580921.0,-438400800.0,40.83986666666667,0.0,0.0,0.0,3.7144439566657326,수,125.56240677966667,
2023-01-26,51100.0,51900.0,50400.0,50900.0,408397.0,-0.0019607843137254,1578.827088730839,1406.9376091757806,47148.57751949787,53307.38422151704,48530.0,43752.61577848296,73.00275482093666,81.97889294363019,2.620967741935476,3172524.0,-40839700.0,49.53663,0.0,0.0,0.0,3.902712395909645,목,75.06252333,
2023-01-27,50700.0,51900.0,50600.0,51500.0,321643.0,0.0117878192534381,1597.0134560748993,1444.9527785556045,47608.69131793804,53510.41620051312,48855.0,44199.58379948688,70.79889807162537,75.77662143318715,5.5327868852459,3494167.0,192985800.0,51.79600000000001,0.0,0.0,0.0,3.947312926206594,금,94.839286233,
2023-01-30,51400.0,51900.0,50600.0,50800.0,295372.0,-0.0135922330097086,1537.221995092892,1463.406621863062,48031.996012503,53057.22303396316,49255.0,45452.77696603684,69.69696969696973,71.16620752984396,8.085106382978724,3198795.0,-206760400.0,43.85233,0.0,0.0,0.0,3.9525212127328753,월,46.91102797666667,
2023-01-31,50100.0,52300.0,50000.0,51900.0,382341.0,0.0216535433070865,1560.6079217298611,1482.8468818364215,48421.43633150276,52717.77368057172,49657.5,46597.22631942828,75.20661157024796,71.90082644628104,8.350730688935283,3581136.0,420575100.0,40.97133,0.0,0.0,0.0,3.712872553809517,화,30.23859022,
2023-02-01,52000.0,52400.0,51300.0,52000.0,239188.0,0.0019267822736031,1569.1227312405465,1500.1020517172467,48779.72142498254,52983.88158932229,49855.0,46726.11841067771,77.83536443012564,74.2463152324478,6.885919835560128,3820324.0,23918800.0,51.14518999999999,0.0,0.0,0.0,3.934668450830216,수,242.616677828,
2023-02-02,52300.0,52900.0,51200.0,51700.0,373732.0,-0.0057692307692307,1533.980513834489,1506.877744140695,49109.343710983936,53189.453442058046,49965.0,46740.546557941954,81.7865647449623,78.27618024844533,5.402650356778804,3446592.0,-112119600.0,47.00142,0.0,0.0,0.0,3.85017781401962,목,514.7668705560001,
2023-02-03,51900.0,53400.0,51600.0,52800.0,516089.0,0.0212765957446807,1576.715465851572,1520.8452884828705,49412.59621410522,53566.925925119474,50165.0,46763.074074880526,83.81794574867533,81.14662497458778,9.2037228541882,3962681.0,567697900.0,44.12625,0.0,0.0,0.0,3.787054843464112,금,165.673355761,
2023-02-06,52800.0,53200.0,52000.0,52200.0,249838.0,-0.0113636363636363,1544.3657505845913,1525.5493809032146,49811.3365926947,53795.39925763933,50320.0,46844.60074236067,81.49528410397978,82.36659819920582,8.523908523908519,3712843.0,-149902800.0,40.76345,0.0,0.0,0.0,3.696263091756274,월,56.37322108366667,
2023-02-07,52400.0,53000.0,51700.0,52200.0,298839.0,0.0,1501.4209223773069,1520.723689198033,50170.20293342523,54001.61934897309,50450.0,46898.38065102691,81.70692431562,82.34005138942506,5.1359516616314105,3712843.0,0.0,37.86107,0.0,0.0,0.0,3.633923407399774,화,0.239948317,
2023-02-08,52700.0,53700.0,52200.0,53300.0,443590.0,0.0210727969348658,1538.413767259044,1524.2617048102352,50493.18264008271,54348.07772855408,50675.0,47001.92227144592,82.80423280423284,82.00214707461089,1.3307984790874583,4156433.0,487949000.0,37.251070000000006,0.0,0.0,0.0,3.6176806692452335,수,166.986445506,
2023-02-09,53300.0,54000.0,52700.0,53200.0,318070.0,-0.0018761726078799,1541.8877765850848,1527.786919165205,50878.00072327278,54402.76242591553,50985.0,47567.23757408447,84.28571428571432,82.93229046852241,2.5048169556840083,3838363.0,-31807000.0,40.08351,0.0,0.0,0.0,3.6909650277924553,목,92.301478182,
2023-02-10,54100.0,55000.0,52500.0,52600.0,825218.0,-0.0112781954887217,1479.174960227021,1518.0645273775683,51315.08062201459,54394.64958696232,51220.0,48045.35041303768,75.69312169312174,80.92768959435632,3.137254901960796,3013145.0,-495130800.0,56.77123,0.0,0.0,0.0,4.039029683321007,금,7.654461267000002,
2023-02-13,52900.0,53800.0,51800.0,52000.0,298458.0,-0.0114068441064638,1365.3210447302265,1487.5158308481,55000.0,54348.3909132219,51387.5,48426.6090867781,58.07407407407411,72.68430335097008,2.16110019646365,2714687.0,-179074800.0,46.79939,0.0,0.0,0.0,3.731111565265427,월,-68.3772392449,
2023-02-14,52000.0,52800.0,51400.0,52300.0,253823.0,0.0057692307692307,1284.4916688312514,1446.9109984447302,55000.0,54331.18679703468,51550.0,48768.81320296532,46.00000000000004,59.92239858906532,1.553398058252431,2968510.0,76146900.0,41.27438,0.0,0.0,0.0,3.7202419684940993,화,85.801773053,
2023-02-15,52400.0,52600.0,50300.0,50600.0,393207.0,-0.0325047801147228,1070.913192912325,1371.7114373382492,54856.0,54074.3198523107,51662.5,49250.6801476893,32.66666666666671,45.580246913580304,-0.3937007874015741,2575303.0,-668451900.0,40.30888,0.0,0.0,0.0,3.696571792074257,수,-202.887288261,
2023-02-16,51100.0,52900.0,50900.0,52800.0,328850.0,0.0434782608695651,1066.8740657061935,1310.743963011838,54582.64,53718.61916139499,51897.5,50076.38083860501,38.00000000000004,38.88888888888894,1.734104046242768,2904153.0,723470000.0,43.29089,0.0,0.0,0.0,3.7679422202631145,목,48.42639570199999,
2023-02-17,51800.0,52300.0,50500.0,50800.0,278035.0,-0.0378787878787878,892.007238798753,1226.9966181692212,54325.6816,53546.82285446592,51955.0,50363.177145534086,28.00000000000004,32.88888888888895,-2.3076923076923106,2626118.0,-556070000.0,40.75958000000001,0.0,0.0,0.0,3.707690904081612,금,99.91138547400001,
