Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-01-02,67800,68200,64300,67200,467158,-0.008849557522123908,2079.996957320014,2311.2281739847012,68400.0,68967.41288056542,65775.0,62582.58711943458,78.84615384615385,82.83289755226406,2.9096477794793296,3717064.0,-280294800.0
2023-01-03,66900,69400,66500,68000,514102,0.011904761904761862,2032.6045748960314,2255.5034541669675,64300.0,69211.70602303318,65965.0,62718.29397696681,80.93465674110836,81.74212531695348,5.919003115264787,4231166.0,411281600.0
2023-01-04,67500,67600,64600,65100,724974,-0.04264705882352937,1740.9711747074834,2152.5969982750707,64300.0,69150.3204963593,66030.0,62909.67950364069,61.66253101736973,73.81444720154398,-0.15337423312883347,3506192.0,-2102424600.0
2023-01-05,65100,65800,63200,64600,391061,-0.007680491551459334,1452.757300773912,2012.629058774839,69400.0,69034.0304523771,66095.0,63155.96954762289,43.5483870967742,62.04852495175078,-4.296296296296298,3115131.0,-195530500.0
2023-01-06,64500,64500,62200,63100,483954,-0.023219814241486114,1090.7349516718386,1828.2502373542388,69276.0,69076.3978374041,66080.0,63083.6021625959,21.908602150537636,42.37317342156054,-4.826546003016596,2631177.0,-725931000.0
2023-01-09,63500,65900,63500,65600,405861,0.03961965134706813,994.0993795642717,1661.4200657962454,68992.96,69074.38863848856,66110.0,63145.61136151145,27.43428912783752,30.963759458383134,-0.9063444108761365,3037038.0,1014652500.0
2023-01-10,65600,65900,63600,63800,384585,-0.027439024390243927,763.4692375476443,1481.8299001465252,68721.24160000001,69148.85244494645,66045.0,62941.14755505356,27.31481481481482,25.552568697730006,-6.038291605301915,2652453.0,-692253000.0
2023-01-11,64300,65700,64000,65400,297456,0.02507836990595602,701.7109298417636,1325.806106085573,68460.39193600001,69071.77790136957,66125.0,63178.22209863044,37.96296296296297,30.904022301871787,-2.2421524663677084,2949909.0,475929600.0
2023-01-12,65900,66700,64700,66000,437126,0.00917431192660545,693.1913334358251,1199.2831515556234,68209.97625856001,69083.28582249496,66160.0,63236.71417750505,39.81481481481482,35.03086419753089,-1.9316493313521588,3387035.0,262275600.0
2023-01-13,66000,66600,63600,63900,527302,-0.03181818181818186,511.0954521099702,1061.6456116664926,67969.57720821761,69111.12541879133,66145.0,63178.87458120868,40.27777777777778,39.351851851851876,-6.304985337243407,2859733.0,-1107334200.0
2023-01-16,63900,64400,63400,63800,232508,-0.0015649452269170805,354.6260812465771,920.2417055825096,67738.7941198889,69189.40202928268,66075.0,62960.59797071733,32.870370370370374,37.65432098765435,-4.6337817638266054,2627225.0,-23250800.0
2023-01-17,64000,64800,63200,63900,330709,0.0015673981191222097,235.97200343341683,783.387765152691,67517.24235509335,69074.60689394145,65895.0,62715.393106058546,23.14814814814815,32.098765432098794,-5.752212389380529,2957934.0,33070900.0
2023-01-18,64200,65200,63800,64800,357493,0.014084507042253502,212.11513901075523,669.1332399243039,67304.55266088962,69028.48874082488,65820.0,62611.511259175124,27.314814814814813,27.77777777777781,-3.57142857142857,3315427.0,321743700.0
2023-01-19,64600,67400,64400,66900,534076,0.03240740740740744,358.5279644458715,607.0121848286174,62200.0,69094.42896202402,65855.0,62615.571037975984,41.666666666666664,30.709876543209905,-1.6176470588235348,3849503.0,1121559600.0
2023-01-20,67100,67600,65700,66900,434430,0.0,469.15307879593456,579.4403636220808,62304.0,68946.00302451303,65805.0,62663.99697548697,55.55555555555555,41.51234567901238,2.764976958525356,3849503.0,0.0
2023-01-25,67400,68200,66700,67500,274608,0.008968609865470878,598.3419509642699,583.2206810905186,62515.84,69028.28983964813,65835.0,62641.71016035187,72.96296296296295,56.72839506172843,4.489164086687314,4124111.0,164764800.0
2023-01-26,67600,69600,66800,68600,441583,0.016296296296296253,780.488879860095,622.6743208444339,62856.889599999995,69258.57112474933,65900.0,62541.42887525067,80.03253253253253,69.51701701701705,8.71632329635499,4565694.0,485741300.0
