date,keyword,view_log_like_sum,view_log_like_avg,count,trend
2023-01-01,50.6771,12178301.862339009,3044575.465584752,4.0,19.498740208789933
2023-01-02,61.60318,387788881.1545766,387788881.1545766,1.0,24.169199001850753
2023-01-03,64.10628,2347508929.4636483,1173754464.7318242,2.0,25.483202293669382
2023-01-04,58.39454,251060620.86410823,31382577.60801353,8.0,22.19269860254264
2023-01-05,56.27729,16187074.896187726,2023384.3620234658,8.0,19.414285939737596
2023-01-06,58.21855,0.0,0.0,0.0,4.064204032476584
2023-01-07,62.82026,289894274.8351113,57978854.96702226,5.0,22.730575500681326
2023-01-08,62.74461999999999,6906340.216853201,1726585.0542133003,4.0,19.145122943356263
2023-01-09,51.53188999999999,0.0,0.0,0.0,3.942200839331021
2023-01-10,50.37563,10780300.725416183,1540042.9607737404,7.0,18.988372678084172
2023-01-11,49.23485,14998853.302309554,3749713.3255773885,4.0,19.678185702114593
2023-01-12,48.54953,9509926.047085194,1358560.8638693134,7.0,18.82606530413828
2023-01-13,51.27016,7934873.208692855,1983718.3021732138,4.0,19.081986525999483
2023-01-14,53.84533,35994959.415113755,5142137.059301965,7.0,20.260639279864883
2023-01-15,65.39792,42768885.44496672,10692221.36124168,4.0,21.009911560669334
2023-01-16,56.49414,0.0,0.0,0.0,4.034136915959276
2023-01-17,50.61694000000001,5036557.900925522,2518278.950462761,2.0,19.10255914320108
2023-01-18,58.98356,21385536.62536764,5346384.15634191,4.0,20.213583840279497
2023-01-19,59.8103,813168.0841878803,813168.0841878803,1.0,17.972384880209667
2023-01-20,59.44619,0.0,0.0,0.0,4.085071533614641
2023-01-21,74.48734,11239177.184845183,2247835.4369690367,5.0,19.6508163964454
2023-01-22,66.76608999999999,3675786.1006205,1837893.05031025,2.0,19.064512279372334
2023-01-23,59.36515000000001,0.0,0.0,0.0,4.083707353855909
2023-01-24,53.83232,0.0,0.0,0.0,3.985874030288025
2023-01-25,53.14587,32107088.300186083,4013386.0375232603,8.0,20.041899005110473
2023-01-26,54.389680000000006,4627916.5254896125,1156979.1313724031,4.0,18.60189144667398
2023-01-27,56.94039000000001,1909951498.5408914,146919346.04160702,13.0,23.860752990822668
2023-01-28,55.22943000000001,19722242.443396576,3944448.488679315,5.0,19.914024601054848
2023-01-29,56.32421,67689827.31688514,33844913.65844257,2.0,21.80761031563548
2023-01-30,50.427040000000005,42443513.548632294,3536959.4623860247,12.0,19.98850853505064
2023-01-31,47.9044,61808093.212227665,6180809.321222766,10.0,20.43952753875728
2023-02-01,47.03725,356448469.3188981,44556058.66486226,8.0,22.326911307185483
2023-02-02,48.04177,38629369.590497546,38629369.590497546,1.0,21.614108136672254
2023-02-03,49.65349,40342476.64316378,5763210.949023397,7.0,20.293618294928773
2023-02-04,49.51454,175318749.31604186,15938068.11964017,11.0,21.449176622715527
2023-02-05,46.88909,70458155.07268906,8807269.384086132,8.0,20.702585797194356
2023-02-06,50.810680000000005,866617634.2687467,72218136.18906222,12.0,23.012511323581787
2023-02-07,44.64166,277038186.80385137,8936715.703350045,31.0,21.062250279298627
2023-02-08,44.97051,286410949.32045275,11015805.743094336,26.0,21.232055378145766
2023-02-09,49.53542999999999,425810159.94630945,30415011.424736388,14.0,22.16863100050595
2023-02-10,161.00338,696209025.1154139,36642580.26923231,19.0,23.622477068233028
2023-02-11,68.09226,791705784.6056514,29322436.466875978,27.0,22.636076751120633
2023-02-12,55.35942,650046747.1335771,19698386.276775062,33.0,22.08404462650452
2023-02-13,67.99194,11043180.009478116,11043180.009478116,1.0,20.709226650914964
2023-02-14,70.35566,67378902.73284,13475780.546568,5.0,21.38467676907324
2023-02-15,60.89719,190704810.2814436,8668400.467338346,22.0,21.249887136091385
2023-02-16,59.653830000000006,19902936.959609058,2487867.119951132,8.0,19.679207443984563
2023-02-17,59.485040000000005,118720945.22720517,6595608.068178065,18.0,20.896537432354435
2023-02-18,53.59527,5658062.051708513,2829031.0258542565,2.0,19.276092205537335
2023-02-19,49.84678,242959549.9059894,7592485.934562169,32.0,21.017800803171994
2023-02-20,50.93975,432507680.52352834,16634910.789366474,26.0,21.768864417765155
2023-02-21,49.72579,317132807.9417912,39641600.9927239,8.0,22.265626133505236
2023-02-22,57.43782,231333362.4596812,14458335.153730076,16.0,21.61231659839053
2023-02-23,48.23076999999999,0.0,0.0,0.0,3.875997199120347
2023-02-24,56.51411,46070569.558629856,9214113.911725972,5.0,20.785446264050147
2023-02-25,55.26513,11424992.365263436,1904165.3942105726,6.0,19.244311851308375
2023-02-26,53.64016,134170773.29303104,26834154.65860621,5.0,21.802193038170298
2023-02-27,49.42925,144181851.711543,12015154.30929525,12.0,21.191424613156137
2023-02-28,48.13718000000001,35024937.96098042,3891659.7734422693,9.0,19.949029943228904
2023-03-01,42.66987,209300661.0692592,52325165.2673148,4.0,22.170875082847683
2023-03-02,36.97115,19069650.17131573,2118850.019035081,9.0,19.07715072455071
2023-03-03,44.48182,717794650.8168993,119632441.80281655,6.0,23.16763052657952
2023-03-04,46.6379,58410415.04324018,5841041.504324018,10.0,20.356193595520086
2023-03-05,44.10718,66549240.27269493,11091540.045449154,6.0,20.780931143594273
2023-03-06,41.51899,23825557.548911206,2647284.1721012453,9.0,19.415824534835757
2023-03-07,45.24775,21151234.37914513,3525205.7298575216,6.0,19.66021764573605
2023-03-08,42.66897,249548574.87722167,49909714.97544433,5.0,22.193907124093517
2023-03-09,38.59993,94552969.82685189,10505885.536316877,9.0,20.72132543851956
2023-03-10,39.47673,0.0,0.0,0.0,3.675711384387236
