date,keyword,view_log_like_sum,view_log_like_avg,count,trend
2023-01-01,185.23899,12103849.621200886,4034616.540400295,3.0,20.98805980970792
2023-01-02,91.75938,11059929.386376236,11059929.386376236,1.0,21.01052276598692
2023-01-03,85.53988,13666175.642906114,6833087.821453057,2.0,20.62545649649747
2023-01-04,82.35776,6591036.385991802,2197012.1286639343,3.0,19.569672714713697
2023-01-05,86.81160000000001,17912909.542804588,8956454.771402294,2.0,20.910811857432517
2023-01-06,86.99896,5819489.860559612,5819489.860559612,1.0,20.315133208103806
2023-01-07,101.51014,0.0,0.0,0.0,4.620158694969854
2023-01-08,96.19618,9448388.609559422,9448388.609559422,1.0,20.90025829586934
2023-01-09,86.2098,1336123.2146442845,1336123.2146442845,1.0,18.83458059616152
2023-01-10,92.18801,20315182.4228521,5078795.605713025,4.0,20.60880883219906
2023-01-11,88.79582,328565.6778299021,328565.6778299021,1.0,17.46134548675479
2023-01-12,87.85624,11853194.792039614,3951064.9306798712,3.0,20.221188704204568
2023-01-13,85.33266,17459637.32173698,4364909.330434245,4.0,20.38005928776544
2023-01-14,91.16042,8187685.810588222,2729228.603529407,3.0,19.888141534757917
2023-01-15,83.0447,10644518.31452594,3548172.7715086467,3.0,20.057313492420022
2023-01-16,81.73608,8650081.733780265,8650081.733780265,1.0,20.649088728407474
2023-01-17,84.52081,64042815.936726116,12808563.187345224,5.0,21.5173312157187
2023-01-18,85.88905,57875990.67790451,19291996.892634835,3.0,21.784248404842966
2023-01-19,89.95683,60406766.86453074,6040676.686453074,10.0,21.046716887938604
2023-01-20,99.42373,1695496341.3382614,141291361.77818844,12.0,24.354928518238435
2023-01-21,85.36105,12632375.854894627,6316187.927447313,2.0,20.544702886188627
2023-01-22,82.10228000000001,38720688.17120959,9680172.042802397,4.0,21.13795006671627
2023-01-23,85.78118,19435206.61046006,9717603.30523003,2.0,20.980435777935714
2023-01-24,95.09478,57114482.66346065,14278620.665865162,4.0,21.67354204416004
2023-01-25,93.49662,111764144.70528364,18627357.450880606,6.0,22.050682519650238
2023-01-26,95.83283999999998,72892692.62704901,7289269.262704901,10.0,21.297879685913774
2023-01-27,98.10942,21243730.03616746,4248746.007233492,5.0,20.562926761932378
2023-01-28,89.43168,754342.7898160516,251447.59660535053,3.0,17.484456023921236
2023-01-29,83.31721999999999,0.0,0.0,0.0,4.422655250497682
2023-01-30,91.22571,0.0,0.0,0.0,4.513336765246458
2023-01-31,91.16041,57737038.48718242,14434259.621795606,4.0,21.642129828750036
2023-02-01,90.34005,3944077.932061134,986019.4830152835,4.0,18.949406324251875
2023-02-02,93.24115,58752729.02880764,8393247.004115377,7.0,21.29967144134741
2023-02-03,105.74825,17414379.317293324,8707189.658646662,2.0,21.07990747954299
2023-02-04,97.70635,8640587.942520363,2160146.985630091,4.0,19.81204742558784
2023-02-05,95.3162,7414066.383789093,7414066.383789093,1.0,20.64860328271832
2023-02-06,107.88291,19381351.219121613,3876270.2438243227,5.0,20.566139379500076
2023-02-07,109.94377,2075180.2446367773,1037590.1223183887,2.0,18.99156701580084
2023-02-08,102.89255,22697797.843581434,4539559.568716287,5.0,20.67673472911103
2023-02-09,96.97397,23118339.331270494,7706113.110423498,3.0,20.987958232947943
2023-02-10,126.63788,53803760.306656614,7686251.472379516,7.0,21.51781972396125
2023-02-11,90.99578,425902.7862605485,425902.7862605485,1.0,17.745293410261088
2023-02-12,89.40898,86485048.7227404,21621262.1806851,4.0,22.026802920789674
2023-02-13,104.91652,14393479.472949706,2878695.894589941,5.0,20.240721856767877
2023-02-14,98.8929,158705333.3180983,17633925.924233146,9.0,22.180001450412693
2023-02-15,101.10703999999998,9229665.706926167,3076555.2356420555,3.0,20.111492015365805
2023-02-16,97.28622,1798194.0891788285,899097.0445894143,2.0,18.725990180534342
2023-02-17,97.49345,45834259.25107799,15278086.417025996,3.0,21.677706454316446
2023-02-18,92.62516,8473562.819485199,8473562.819485199,1.0,20.753536309541623
2023-02-19,86.90811000000001,0.0,0.0,0.0,4.4648513535784575
2023-02-20,98.83897,455388.1438187474,455388.1438187474,1.0,17.894911238305724
2023-02-21,93.64707,13299396.5312149,3324849.132803725,4.0,20.20086204666559
2023-02-22,117.49742,41610710.61098845,6935118.435164742,6.0,21.291140410348927
2023-02-23,102.09489,2059938.2193400213,514984.5548350053,4.0,18.422188911051975
2023-02-24,99.10013,9123346.156308014,4561673.078154007,2.0,20.368517340768296
2023-02-25,92.43497,21241494.069755152,7080498.023251717,3.0,20.855351334399302
2023-02-26,93.77765,16174481.12705457,1617448.112705457,10.0,19.770647182379154
2023-02-27,105.50127,35715391.38498103,35715391.38498103,1.0,22.322329156332405
2023-02-28,101.74291,1538780.1819744124,769390.0909872062,2.0,18.614989101964262
2023-03-01,88.18835999999999,2153183.2038230887,717727.7346076962,3.0,18.519311716603834
2023-03-02,87.17210999999999,3161030.762328163,790257.6905820407,4.0,18.692392849691576
2023-03-03,95.06072,22383944.56849708,7461314.856165693,3.0,20.935749214831713
2023-03-04,89.06264999999999,364921.9472452583,364921.9472452583,1.0,17.569292701707905
2023-03-05,91.37615,28546813.022851974,9515604.340950659,3.0,21.139419233420405
2023-03-06,94.51854,90206506.41059332,45103253.20529666,2.0,22.612447511084547
2023-03-07,91.77356,43596101.83131721,14532033.943772404,3.0,21.56718140551187
2023-03-08,93.40579,217110502.8098324,108555251.4049162,2.0,23.478909735942846
2023-03-09,84.3732,1105763.4458291642,552881.7229145821,2.0,18.097335760971273
